ShellLength;Temperature;G
110;23,1;0,018614371
120;23,1;0,016546107
130;23,1;0,014477844
140;23,1;0,012409581
150;23,1;0,010341317
160;23,1;0,008273054
170;23,1;0,00620479
180;23,1;0,004136527
190;23,1;0,002068263
200;23,1;0
0;23,2;0,041968991
10;23,2;0,039870541
20;23,2;0,037772092
30;23,2;0,035673642
40;23,2;0,033575193
50;23,2;0,031476743
60;23,2;0,029378294
70;23,2;0,027279844
80;23,2;0,025181394
90;23,2;0,023082945
100;23,2;0,020984495
110;23,2;0,018886046
120;23,2;0,016787596
130;23,2;0,014689147
140;23,2;0,012590697
150;23,2;0,010492248
160;23,2;0,008393798
170;23,2;0,006295349
180;23,2;0,004196899
190;23,2;0,00209845
200;23,2;0
0;23,3;0,04257698
10;23,3;0,040448131
20;23,3;0,038319282
30;23,3;0,036190433
40;23,3;0,034061584
50;23,3;0,031932735
60;23,3;0,029803886
70;23,3;0,027675037
80;23,3;0,025546188
90;23,3;0,023417339
100;23,3;0,02128849
110;23,3;0,019159641
120;23,3;0,017030792
130;23,3;0,014901943
140;23,3;0,012773094
150;23,3;0,010644245
160;23,3;0,008515396
170;23,3;0,006386547
180;23,3;0,004257698
190;23,3;0,002128849
200;23,3;0
0;23,4;0,043189075
10;23,4;0,041029621
20;23,4;0,038870167
30;23,4;0,036710714
40;23,4;0,03455126
50;23,4;0,032391806
60;23,4;0,030232352
70;23,4;0,028072899
80;23,4;0,025913445
90;23,4;0,023753991
100;23,4;0,021594537
110;23,4;0,019435084
120;23,4;0,01727563
130;23,4;0,015116176
140;23,4;0,012956722
150;23,4;0,010797269
160;23,4;0,008637815
170;23,4;0,006478361
180;23,4;0,004318907
190;23,4;0,002159454
200;23,4;0
0;23,5;0,043805104
10;23,5;0,041614849
20;23,5;0,039424594
30;23,5;0,037234339
40;23,5;0,035044083
50;23,5;0,032853828
60;23,5;0,030663573
70;23,5;0,028473318
80;23,5;0,026283063
90;23,5;0,024092807
100;23,5;0,021902552
110;23,5;0,019712297
120;23,5;0,017522042
130;23,5;0,015331787
140;23,5;0,013141531
150;23,5;0,010951276
160;23,5;0,008761021
170;23,5;0,006570766
180;23,5;0,00438051
190;23,5;0,002190255
200;23,5;0
0;23,6;0,044424886
10;23,6;0,042203642
20;23,6;0,039982397
30;23,6;0,037761153
40;23,6;0,035539909
50;23,6;0,033318664
60;23,6;0,03109742
70;23,6;0,028876176
80;23,6;0,026654931
90;23,6;0,024433687
100;23,6;0,022212443
110;23,6;0,019991199
120;23,6;0,017769954
130;23,6;0,01554871
140;23,6;0,013327466
