ShellLength;Temperature;G
0;22;0,079022965
10;22;0,075071817
20;22;0,071120669
30;22;0,067169521
40;22;0,063218372
50;22;0,059267224
60;22;0,055316076
70;22;0,051364928
80;22;0,047413779
90;22;0,043462631
100;22;0,039511483
110;22;0,035560334
120;22;0,031609186
130;22;0,027658038
140;22;0,02370689
150;22;0,019755741
160;22;0,015804593
170;22;0,011853445
180;22;0,007902297
190;22;0,003951148
200;22;0
0;22,1;0,080260548
10;22,1;0,076247521
20;22,1;0,072234493
30;22,1;0,068221466
40;22,1;0,064208439
50;22,1;0,060195411
60;22,1;0,056182384
70;22,1;0,052169356
80;22,1;0,048156329
90;22,1;0,044143302
100;22,1;0,040130274
110;22,1;0,036117247
120;22,1;0,032104219
130;22,1;0,028091192
140;22,1;0,024078164
150;22,1;0,020065137
160;22,1;0,01605211
170;22,1;0,012039082
180;22,1;0,008026055
190;22,1;0,004013027
200;22,1;0
0;22,2;0,081510417
10;22,2;0,077434896
20;22,2;0,073359375
30;22,2;0,069283854
40;22,2;0,065208333
50;22,2;0,061132812
60;22,2;0,057057292
70;22,2;0,052981771
80;22,2;0,04890625
90;22,2;0,044830729
100;22,2;0,040755208
110;22,2;0,036679687
120;22,2;0,032604167
130;22,2;0,028528646
140;22,2;0,024453125
150;22,2;0,020377604
160;22,2;0,016302083
170;22,2;0,012226562
180;22,2;0,008151042
190;22,2;0,004075521
200;22,2;0
0;22,3;0,082772415
10;22,3;0,078633794
20;22,3;0,074495174
30;22,3;0,070356553
40;22,3;0,066217932
50;22,3;0,062079311
60;22,3;0,057940691
70;22,3;0,05380207
80;22,3;0,049663449
90;22,3;0,045524828
100;22,3;0,041386208
110;22,3;0,037247587
120;22,3;0,033108966
130;22,3;0,028970345
140;22,3;0,024831725
150;22,3;0,020693104
160;22,3;0,016554483
170;22,3;0,012415862
180;22,3;0,008277242
190;22,3;0,004138621
200;22,3;0
0;22,4;0,084046373
10;22,4;0,079844054
20;22,4;0,075641735
30;22,4;0,071439417
40;22,4;0,067237098
50;22,4;0,063034779
60;22,4;0,058832461
70;22,4;0,054630142
80;22,4;0,050427824
90;22,4;0,046225505
100;22,4;0,042023186
110;22,4;0,037820868
120;22,4;0,033618549
130;22,4;0,02941623
140;22,4;0,025213912
150;22,4;0,021011593
160;22,4;0,016809275
170;22,4;0,012606956
180;22,4;0,008404637
190;22,4;0,004202319
200;22,4;0
0;22,5;0,085332102
10;22,5;0,081065497
20;22,5;0,076798892
30;22,5;0,072532287
40;22,5;0,068265682
50;22,5;0,063999077
60;22,5;0,059732472
70;22,5;0,055465867
80;22,5;0,051199261
90;22,5;0,046932656
100;22,5;0,042666051
110;22,5;0,038399446
120;22,5;0,034132841
130;22,5;0,029866236
140;22,5;0,025599631
150;22,5;0,021333026
160;22,5;0,01706642
170;22,5;0,012799815
180;22,5;0,00853321
190;22,5;0,004266605
200;22,5;0
0;22,6;0,086629402
10;22,6;0,082297931
20;22,6;0,077966461
30;22,6;0,073634991
40;22,6;0,069303521
50;22,6;0,064972051
60;22,6;0,060640581
70;22,6;0,056309111
80;22,6;0,051977641
90;22,6;0,047646171
100;22,6;0,043314701
110;22,6;0,038983231
120;22,6;0,034651761
130;22,6;0,030320291
140;22,6;0,02598882
150;22,6;0,02165735
160;22,6;0,01732588
170;22,6;0,01299441
180;22,6;0,00866294
190;22,6;0,00433147
200;22,6;0
0;22,7;0,087938049
10;22,7;0,083541147
20;22,7;0,079144244
30;22,7;0,074747342
40;22,7;0,070350439
50;22,7;0,065953537
60;22,7;0,061556635
70;22,7;0,057159732
80;22,7;0,05276283
90;22,7;0,048365927
100;22,7;0,043969025
110;22,7;0,039572122
120;22,7;0,03517522
130;22,7;0,030778317
140;22,7;0,026381415
150;22,7;0,021984512
160;22,7;0,01758761
170;22,7;0,013190707
180;22,7;0,008793805
190;22,7;0,004396902
200;22,7;0
0;22,8;0,089257807
10;22,8;0,084794917
20;22,8;0,080332027
30;22,8;0,075869136
40;22,8;0,071406246
50;22,8;0,066943355
60;22,8;0,062480465
70;22,8;0,058017575
80;22,8;0,053554684
90;22,8;0,049091794
100;22,8;0,044628904
110;22,8;0,040166013
120;22,8;0,035703123
130;22,8;0,031240233
140;22,8;0,026777342
150;22,8;0,022314452
160;22,8;0,017851561
170;22,8;0,013388671
180;22,8;0,008925781
190;22,8;0,00446289
200;22,8;0
0;22,9;0,090588418
10;22,9;0,086058998
20;22,9;0,081529577
30;22,9;0,077000156
40;22,9;0,072470735
50;22,9;0,067941314
60;22,9;0,063411893
70;22,9;0,058882472
80;22,9;0,054353051
90;22,9;0,04982363
100;22,9;0,045294209
110;22,9;0,040764788
120;22,9;0,036235367
130;22,9;0,031705946
140;22,9;0,027176526
150;22,9;0,022647105
160;22,9;0,018117684
170;22,9;0,013588263
180;22,9;0,009058842
190;22,9;0,004529421
200;22,9;0
0;23;0,091929606
10;23;0,087333126
20;23;0,082736645
30;23;0,078140165
40;23;0,073543685
50;23;0,068947205
60;23;0,064350724
70;23;0,059754244
80;23;0,055157764
90;23;0,050561283
100;23;0,045964803
110;23;0,041368323
120;23;0,036771842
130;23;0,032175362
140;23;0,027578882
150;23;0,022982402
160;23;0,018385921
170;23;0,013789441
180;23;0,009192961
190;23;0,00459648
200;23;0
0;23,1;0,093281073
10;23,1;0,08861702
20;23,1;0,083952966
30;23,1;0,079288912
40;23,1;0,074624859
50;23,1;0,069960805
60;23,1;0,065296751
70;23,1;0,060632698
80;23,1;0,055968644
90;23,1;0,05130459
100;23,1;0,046640537
110;23,1;0,041976483
120;23,1;0,037312429
130;23,1;0,032648376
140;23,1;0,027984322
150;23,1;0,023320268
160;23,1;0,018656215
170;23,1;0,013992161
180;23,1;0,009328107
190;23,1;0,004664054
200;23,1;0
0;23,2;0,094642502
10;23,2;0,089910377
20;23,2;0,085178252
30;23,2;0,080446127
40;23,2;0,075714002
50;23,2;0,070981877
60;23,2;0,066249752
70;23,2;0,061517626
80;23,2;0,056785501
90;23,2;0,052053376
100;23,2;0,047321251
110;23,2;0,042589126
120;23,2;0,037857001
130;23,2;0,033124876
140;23,2;0,028392751
150;23,2;0,023660626
160;23,2;0,0189285
170;23,2;0,014196375
180;23,2;0,00946425
190;23,2;0,004732125
200;23,2;0
0;23,3;0,096013553
10;23,3;0,091212875
20;23,3;0,086412198
30;23,3;0,08161152
40;23,3;0,076810842
50;23,3;0,072010165
60;23,3;0,067209487
70;23,3;0,062408809
80;23,3;0,057608132
90;23,3;0,052807454
100;23,3;0,048006776
110;23,3;0,043206099
120;23,3;0,038405421
130;23,3;0,033604744
140;23,3;0,028804066
150;23,3;0,024003388
160;23,3;0,019202711
170;23,3;0,014402033
180;23,3;0,009601355
190;23,3;0,004800678
200;23,3;0
0;23,4;0,097393863
10;23,4;0,092524169
20;23,4;0,087654476
30;23,4;0,082784783
40;23,4;0,07791509
50;23,4;0,073045397
60;23,4;0,068175704
70;23,4;0,063306011
80;23,4;0,058436318
90;23,4;0,053566624
100;23,4;0,048696931
110;23,4;0,043827238
120;23,4;0,038957545
130;23,4;0,034087852
140;23,4;0,029218159
150;23,4;0,024348466
160;23,4;0,019478773
170;23,4;0,014609079
180;23,4;0,009739386
190;23,4;0,004869693
200;23,4;0
0;23,5;0,098783045
10;23,5;0,093843892
20;23,5;0,08890474
30;23,5;0,083965588
40;23,5;0,079026436
50;23,5;0,074087283
60;23,5;0,069148131
70;23,5;0,064208979
80;23,5;0,059269827
90;23,5;0,054330675
100;23,5;0,049391522
110;23,5;0,04445237
120;23,5;0,039513218
130;23,5;0,034574066
140;23,5;0,029634913
150;23,5;0,024695761
160;23,5;0,019756609
170;23,5;0,014817457
180;23,5;0,009878304
190;23,5;0,004939152
200;23,5;0
0;23,6;0,100180688
10;23,6;0,095171653
20;23,6;0,090162619
30;23,6;0,085153585
40;23,6;0,08014455
