ShellLength;Temperature;G
110;23,1;0,021889115
120;23,1;0,019456991
130;23,1;0,017024867
140;23,1;0,014592743
150;23,1;0,012160619
160;23,1;0,009728496
170;23,1;0,007296372
180;23,1;0,004864248
190;23,1;0,002432124
200;23,1;0
0;23,2;0,04935241
10;23,2;0,04688479
20;23,2;0,044417169
30;23,2;0,041949549
40;23,2;0,039481928
50;23,2;0,037014308
60;23,2;0,034546687
70;23,2;0,032079067
80;23,2;0,029611446
90;23,2;0,027143826
100;23,2;0,024676205
110;23,2;0,022208585
120;23,2;0,019740964
130;23,2;0,017273344
140;23,2;0,014805723
150;23,2;0,012338103
160;23,2;0,009870482
170;23,2;0,007402862
180;23,2;0,004935241
190;23,2;0,002467621
200;23,2;0
0;23,3;0,05006736
10;23,3;0,047563992
20;23,3;0,045060624
30;23,3;0,042557256
40;23,3;0,040053888
50;23,3;0,03755052
60;23,3;0,035047152
70;23,3;0,032543784
80;23,3;0,030040416
90;23,3;0,027537048
100;23,3;0,02503368
110;23,3;0,022530312
120;23,3;0,020026944
130;23,3;0,017523576
140;23,3;0,015020208
150;23,3;0,01251684
160;23,3;0,010013472
170;23,3;0,007510104
180;23,3;0,005006736
190;23,3;0,002503368
200;23,3;0
0;23,4;0,050787139
10;23,4;0,048247782
20;23,4;0,045708425
30;23,4;0,043169068
40;23,4;0,040629711
50;23,4;0,038090354
60;23,4;0,035550997
70;23,4;0,03301164
80;23,4;0,030472283
90;23,4;0,027932926
100;23,4;0,025393569
110;23,4;0,022854212
120;23,4;0,020314855
130;23,4;0,017775499
140;23,4;0,015236142
150;23,4;0,012696785
160;23,4;0,010157428
170;23,4;0,007618071
180;23,4;0,005078714
190;23,4;0,002539357
200;23,4;0
0;23,5;0,051511543
10;23,5;0,048935966
20;23,5;0,046360389
30;23,5;0,043784812
40;23,5;0,041209235
50;23,5;0,038633658
60;23,5;0,03605808
70;23,5;0,033482503
80;23,5;0,030906926
90;23,5;0,028331349
100;23,5;0,025755772
110;23,5;0,023180195
120;23,5;0,020604617
130;23,5;0,01802904
140;23,5;0,015453463
150;23,5;0,012877886
160;23,5;0,010302309
170;23,5;0,007726732
180;23,5;0,005151154
190;23,5;0,002575577
200;23,5;0
0;23,6;0,05224036
10;23,6;0,049628342
20;23,6;0,047016324
30;23,6;0,044404306
40;23,6;0,041792288
50;23,6;0,03918027
60;23,6;0,036568252
70;23,6;0,033956234
80;23,6;0,031344216
90;23,6;0,028732198
100;23,6;0,02612018
110;23,6;0,023508162
120;23,6;0,020896144
130;23,6;0,018284126
140;23,6;0,015672108
150;23,6;0,01306009
160;23,6;0,010448072
170;23,6;0,007836054
180;23,6;0,005224036
190;23,6;0,002612018
200;23,6;0
0;23,7;0,052973362
10;23,7;0,050324694
20;23,7;0,047676025
30;23,7;0,045027357
40;23,7;0,042378689
50;23,7;0,039730021
60;23,7;0,037081353
70;23,7;0,034432685
80;23,7;0,031784017
90;23,7;0,029135349
100;23,7;0,026486681
110;23,7;0,023838013
120;23,7;0,021189345
130;23,7;0,018540677
140;23,7;0,015892008
150;23,7;0,01324334
160;23,7;0,010594672
170;23,7;0,007946004
180;23,7;0,005297336
190;23,7;0,002648668
200;23,7;0
0;23,8;0,053710305
10;23,8;0,05102479
20;23,8;0,048339275
30;23,8;0,04565376
40;23,8;0,042968244
50;23,8;0,040282729
60;23,8;0,037597214
70;23,8;0,034911698
80;23,8;0,032226183
90;23,8;0,029540668
100;23,8;0,026855153
110;23,8;0,024169637
120;23,8;0,021484122
130;23,8;0,018798607
140;23,8;0,016113092
150;23,8;0,013427576
160;23,8;0,010742061
170;23,8;0,008056546
180;23,8;0,005371031
190;23,8;0,002685515
200;23,8;0
0;23,9;0,054450935
10;23,9;0,051728389
20;23,9;0,049005842
30;23,9;0,046283295
40;23,9;0,043560748
50;23,9;0,040838202
