,TEMP_predite_mean,TEMP_predite_CONF_lower,TEMP_predite_CONF_upper
2000-06-11,27.07974293987974,25.341140912666543,28.818344967092937
2000-06-12,27.25406141299605,25.515459385782854,28.99266344020925
2000-06-13,27.247591705215655,25.508989678002457,28.986193732428852
2000-06-14,27.02029188836509,25.281689861151893,28.758893915578287
2000-06-15,26.826821482927432,25.088219455714235,28.56542351014063
2000-06-16,26.927469561943212,25.188867534730015,28.66607158915641
2000-06-17,26.6568981840436,24.918296156830404,28.3955002112568
2000-06-18,26.23023238628549,24.491630359072293,27.968834413498687
2000-06-19,26.080156059286182,24.341554032072985,27.81875808649938
2000-06-20,26.066276001062928,24.32767397384973,27.804878028276125
2000-06-21,25.840416721541455,24.101814694328258,27.579018748754653
2000-06-22,25.577382207572285,23.838780180359088,27.315984234785482
2000-06-23,25.10112288994689,23.362520862733692,26.839724917160087
2000-06-24,25.386327540981366,23.64772551376817,27.124929568194563
2000-06-25,25.388681544465857,23.65007951725266,27.127283571679055
2000-06-26,24.972922939037485,23.234320911824287,26.711524966250682
2000-06-27,25.217856386761554,23.479254359548356,26.95645841397475
2000-06-28,25.40000052324298,23.661398496029783,27.138602550456177
2000-06-29,25.591495191974516,23.85289316476132,27.330097219187714
2000-06-30,25.868068657886894,24.129466630673697,27.60667068510009
2000-07-01,25.91062437467207,24.172022347458874,27.64922640188527
2000-07-02,25.78303042056869,24.044428393355492,27.521632447781887
2000-07-03,25.794937556578816,24.05633552936562,27.533539583792013
2000-07-04,25.69108297249524,23.952480945282044,27.42968499970844
2000-07-05,25.944888745361595,24.206286718148398,27.683490772574793
2000-07-06,25.825615038002525,24.087013010789327,27.564217065215722
2000-07-07,25.726399320759413,23.987797293546215,27.46500134797261
2000-07-08,25.432660023566964,23.694057996353767,27.17126205078016
2000-07-09,24.92093550590045,23.18233347868725,26.659537533113646
2000-07-10,25.196115032899538,23.45751300568634,26.934717060112735
2000-07-11,25.664963875843636,23.92636184863044,27.403565903056833
2000-07-12,26.09929499306027,24.360692965847072,27.837897020273466
2000-07-13,25.94308541824995,24.204483391036753,27.681687445463147
2000-07-14,25.965710758408903,24.227108731195706,27.7043127856221
2000-07-15,25.644538423324974,23.905936396111777,27.38314045053817
2000-07-16,25.498534907371994,23.759932880158797,27.23713693458519
2000-07-17,25.41432303766416,23.675721010450964,27.15292506487736
2000-07-18,25.215891413821215,23.477289386608017,26.954493441034412
2000-07-19,24.925994206271124,23.187392179057927,26.66459623348432
2000-07-20,24.76360795644543,23.025005929232233,26.502209983658627
2000-07-21,24.652221530767495,22.913619503554298,26.390823557980692
2000-07-22,25.386120781425248,23.64751875421205,27.124722808638445
2000-07-23,25.42646472381413,23.687862696600934,27.16506675102733
2000-07-24,25.155683856821636,23.41708182960844,26.894285884034833
2000-07-25,25.24473174942315,23.506129722209952,26.983333776636346
2000-07-26,25.251929638985118,23.51332761177192,26.990531666198315
