ShellLength;Temperature;G
0;22;0,005049426
10;22;0,004796955
20;22;0,004544484
30;22;0,004292012
40;22;0,004039541
50;22;0,00378707
60;22;0,003534599
70;22;0,003282127
80;22;0,003029656
90;22;0,002777185
100;22;0,002524713
110;22;0,002272242
120;22;0,002019771
130;22;0,001767299
140;22;0,001514828
150;22;0,001262357
160;22;0,001009885
170;22;0,000757414
180;22;0,000504943
190;22;0,000252471
200;22;0
0;22,1;0,005128506
10;22,1;0,00487208
20;22,1;0,004615655
30;22,1;0,00435923
40;22,1;0,004102805
50;22,1;0,003846379
60;22,1;0,003589954
70;22,1;0,003333529
80;22,1;0,003077103
90;22,1;0,002820678
100;22,1;0,002564253
110;22,1;0,002307828
120;22,1;0,002051402
130;22,1;0,001794977
140;22,1;0,001538552
150;22,1;0,001282126
160;22,1;0,001025701
170;22,1;0,000769276
180;22,1;0,000512851
190;22,1;0,000256425
200;22,1;0
0;22,2;0,00520837
10;22,2;0,004947952
20;22,2;0,004687533
30;22,2;0,004427115
40;22,2;0,004166696
50;22,2;0,003906278
60;22,2;0,003645859
70;22,2;0,003385441
80;22,2;0,003125022
90;22,2;0,002864604
100;22,2;0,002604185
110;22,2;0,002343767
120;22,2;0,002083348
130;22,2;0,00182293
140;22,2;0,001562511
150;22,2;0,001302093
160;22,2;0,001041674
170;22,2;0,000781256
180;22,2;0,000520837
190;22,2;0,000260419
200;22,2;0
0;22,3;0,00528901
10;22,3;0,005024559
20;22,3;0,004760109
30;22,3;0,004495658
40;22,3;0,004231208
50;22,3;0,003966757
60;22,3;0,003702307
70;22,3;0,003437856
80;22,3;0,003173406
90;22,3;0,002908955
100;22,3;0,002644505
110;22,3;0,002380054
120;22,3;0,002115604
130;22,3;0,001851153
140;22,3;0,001586703
150;22,3;0,001322252
160;22,3;0,001057802
170;22,3;0,000793351
180;22,3;0,000528901
190;22,3;0,00026445
200;22,3;0
0;22,4;0,005370413
10;22,4;0,005101893
20;22,4;0,004833372
30;22,4;0,004564851
40;22,4;0,004296331
50;22,4;0,00402781
60;22,4;0,003759289
70;22,4;0,003490769
80;22,4;0,003222248
90;22,4;0,002953727
100;22,4;0,002685207
110;22,4;0,002416686
120;22,4;0,002148165
130;22,4;0,001879645
140;22,4;0,001611124
150;22,4;0,001342603
160;22,4;0,001074083
170;22,4;0,000805562
180;22,4;0,000537041
190;22,4;0,000268521
200;22,4;0
0;22,5;0,005452569
10;22,5;0,005179941
20;22,5;0,004907312
30;22,5;0,004634684
40;22,5;0,004362055
50;22,5;0,004089427
60;22,5;0,003816798
70;22,5;0,00354417
80;22,5;0,003271541
90;22,5;0,002998913
100;22,5;0,002726285
110;22,5;0,002453656
120;22,5;0,002181028
130;22,5;0,001908399
140;22,5;0,001635771
150;22,5;0,001363142
160;22,5;0,001090514
170;22,5;0,000817885
180;22,5;0,000545257
190;22,5;0,000272628
200;22,5;0
0;22,6;0,005535464
10;22,6;0,005258691
20;22,6;0,004981918
30;22,6;0,004705145
40;22,6;0,004428371
50;22,6;0,004151598
60;22,6;0,003874825
70;22,6;0,003598052
80;22,6;0,003321278
90;22,6;0,003044505
100;22,6;0,002767732
110;22,6;0,002490959
120;22,6;0,002214186
130;22,6;0,001937412
140;22,6;0,001660639
150;22,6;0,001383866
160;22,6;0,001107093
170;22,6;0,00083032
180;22,6;0,000553546
190;22,6;0,000276773
200;22,6;0
0;22,7;0,005619084
10;22,7;0,00533813
20;22,7;0,005057176
30;22,7;0,004776222
40;22,7;0,004495268
50;22,7;0,004214313
60;22,7;0,003933359
70;22,7;0,003652405
80;22,7;0,003371451
90;22,7;0,003090496
100;22,7;0,002809542
110;22,7;0,002528588
120;22,7;0,002247634
130;22,7;0,00196668
140;22,7;0,001685725
150;22,7;0,001404771
160;22,7;0,001123817
170;22,7;0,000842863
180;22,7;0,000561908
190;22,7;0,000280954
200;22,7;0
0;22,8;0,005703415
10;22,8;0,005418244
20;22,8;0,005133073
30;22,8;0,004847902
40;22,8;0,004562732
50;22,8;0,004277561
60;22,8;0,00399239
70;22,8;0,003707219
80;22,8;0,003422049
90;22,8;0,003136878
100;22,8;0,002851707
110;22,8;0,002566537
120;22,8;0,002281366
130;22,8;0,001996195
140;22,8;0,001711024
150;22,8;0,001425854
160;22,8;0,001140683
170;22,8;0,000855512
180;22,8;0,000570341
190;22,8;0,000285171
200;22,8;0
0;22,9;0,005788438
10;22,9;0,005499016
20;22,9;0,005209594
30;22,9;0,004920173
40;22,9;0,004630751
50;22,9;0,004341329
60;22,9;0,004051907
70;22,9;0,003762485
80;22,9;0,003473063
90;22,9;0,003183641
100;22,9;0,002894219
110;22,9;0,002604797
120;22,9;0,002315375
130;22,9;0,002025953
140;22,9;0,001736531
150;22,9;0,00144711
160;22,9;0,001157688
170;22,9;0,000868266
180;22,9;0,000578844
190;22,9;0,000289422
200;22,9;0
0;23;0,005874138
10;23;0,005580431
20;23;0,005286724
30;23;0,004993017
40;23;0,00469931
50;23;0,004405603
60;23;0,004111896
70;23;0,00381819
80;23;0,003524483
90;23;0,003230776
100;23;0,002937069
110;23;0,002643362
120;23;0,002349655
130;23;0,002055948
140;23;0,001762241
150;23;0,001468534
160;23;0,001174828
170;23;0,000881121
180;23;0,000587414
190;23;0,000293707
200;23;0
0;23,1;0,005960494
10;23,1;0,005662469
20;23,1;0,005364445
30;23,1;0,00506642
40;23,1;0,004768395
50;23,1;0,004470371
60;23,1;0,004172346
70;23,1;0,003874321
80;23,1;0,003576296
90;23,1;0,003278272
100;23,1;0,002980247
110;23,1;0,002682222
120;23,1;0,002384198
130;23,1;0,002086173
140;23,1;0,001788148
150;23,1;0,001490124
160;23,1;0,001192099
170;23,1;0,000894074
180;23,1;0,000596049
190;23,1;0,000298025
200;23,1;0
0;23,2;0,006047487
10;23,2;0,005745113
20;23,2;0,005442738
30;23,2;0,005140364
40;23,2;0,00483799
50;23,2;0,004535615
60;23,2;0,004233241
70;23,2;0,003930867
80;23,2;0,003628492
90;23,2;0,003326118
100;23,2;0,003023743
110;23,2;0,002721369
120;23,2;0,002418995
130;23,2;0,00211662
140;23,2;0,001814246
150;23,2;0,001511872
160;23,2;0,001209497
170;23,2;0,000907123
180;23,2;0,000604749
190;23,2;0,000302374
200;23,2;0
0;23,3;0,006135095
10;23,3;0,00582834
20;23,3;0,005521585
30;23,3;0,00521483
40;23,3;0,004908076
50;23,3;0,004601321
60;23,3;0,004294566
70;23,3;0,003987812
80;23,3;0,003681057
90;23,3;0,003374302
100;23,3;0,003067547
110;23,3;0,002760793
120;23,3;0,002454038
130;23,3;0,002147283
140;23,3;0,001840528
150;23,3;0,001533774
160;23,3;0,001227019
170;23,3;0,000920264
180;23,3;0,000613509
190;23,3;0,000306755
200;23,3;0
0;23,4;0,006223294
10;23,4;0,005912129
20;23,4;0,005600965
30;23,4;0,0052898
40;23,4;0,004978635
50;23,4;0,00466747
60;23,4;0,004356306
70;23,4;0,004045141
80;23,4;0,003733976
90;23,4;0,003422812
100;23,4;0,003111647
110;23,4;0,002800482
120;23,4;0,002489318
130;23,4;0,002178153
140;23,4;0,001866988
150;23,4;0,001555823
160;23,4;0,001244659
170;23,4;0,000933494
180;23,4;0,000622329
190;23,4;0,000311165
200;23,4;0
0;23,5;0,00631206
10;23,5;0,005996457
20;23,5;0,005680854
30;23,5;0,005365251
40;23,5;0,005049648
50;23,5;0,004734045
60;23,5;0,004418442
70;23,5;0,004102839
80;23,5;0,003787236
90;23,5;0,003471633
100;23,5;0,00315603
110;23,5;0,002840427
120;23,5;0,002524824
130;23,5;0,002209221
140;23,5;0,001893618
150;23,5;0,001578015
160;23,5;0,001262412
170;23,5;0,000946809
180;23,5;0,000631206
190;23,5;0,000315603
200;23,5;0
0;23,6;0,006401367
10;23,6;0,006081299
20;23,6;0,00576123
30;23,6;0,005441162
40;23,6;0,005121094
50;23,6;0,004801025
60;23,6;0,004480957
70;23,6;0,004160889
80;23,6;0,00384082
90;23,6;0,003520752
100;23,6;0,003200684
110;23,6;0,002880615
120;23,6;0,002560547
130;23,6;0,002240478
140;23,6;0,00192041
150;23,6;0,001600342
160;23,6;0,001280273
170;23,6;0,000960205
180;23,6;0,000640137
190;23,6;0,000320068
200;23,6;0
0;23,7;0,006491187
10;23,7;0,006166627
20;23,7;0,005842068
30;23,7;0,005517509
40;23,7;0,005192949
50;23,7;0,00486839
60;23,7;0,004543831
70;23,7;0,004219271
80;23,7;0,003894712
90;23,7;0,003570153
100;23,7;0,003245593
110;23,7;0,002921034
120;23,7;0,002596475
130;23,7;0,002271915
140;23,7;0,001947356
150;23,7;0,001622797
160;23,7;0,001298237
170;23,7;0,000973678
180;23,7;0,000649119
190;23,7;0,000324559
200;23,7;0
0;23,8;0,006581489
10;23,8;0,006252415
20;23,8;0,005923341
30;23,8;0,005594266
40;23,8;0,005265192
50;23,8;0,004936117
60;23,8;0,004607043
70;23,8;0,004277968
80;23,8;0,003948894
90;23,8;0,003619819
100;23,8;0,003290745
110;23,8;0,00296167
120;23,8;0,002632596
130;23,8;0,002303521
140;23,8;0,001974447
150;23,8;0,001645372
160;23,8;0,001316298
170;23,8;0,000987223
180;23,8;0,000658149
190;23,8;0,000329074
200;23,8;0
0;23,9;0,006672244
10;23,9;0,006338632
20;23,9;0,00600502
30;23,9;0,005671407
40;23,9;0,005337795
50;23,9;0,005004183
60;23,9;0,004670571
70;23,9;0,004336959
80;23,9;0,004003346
90;23,9;0,003669734
100;23,9;0,003336122
110;23,9;0,00300251
120;23,9;0,002668898
130;23,9;0,002335285
140;23,9;0,002001673
150;23,9;0,001668061
160;23,9;0,001334449
170;23,9;0,001000837
180;23,9;0,000667224
190;23,9;0,000333612
200;23,9;0
0;24;0,006763417
10;24;0,006425246
20;24;0,006087075
30;24;0,005748904
40;24;0,005410733
50;24;0,005072563
60;24;0,004734392
70;24;0,004396221
80;24;0,00405805
90;24;0,003719879
100;24;0,003381708
110;24;0,003043538
120;24;0,002705367
130;24;0,002367196
140;24;0,002029025
150;24;0,001690854
160;24;0,001352683
170;24;0,001014513
180;24;0,000676342
190;24;0,000338171
200;24;0
0;24,1;0,006854973
10;24,1;0,006512224
20;24,1;0,006169476
30;24,1;0,005826727
40;24,1;0,005483978
50;24,1;0,00514123
60;24,1;0,004798481
70;24,1;0,004455733
80;24,1;0,004112984
90;24,1;0,003770235
100;24,1;0,003427487
110;24,1;0,003084738
120;24,1;0,002741989
130;24,1;0,002399241
140;24,1;0,002056492
150;24,1;0,001713743
160;24,1;0,001370995
170;24,1;0,001028246
180;24,1;0,000685497
190;24,1;0,000342749
200;24,1;0
0;24,2;0,006946875
10;24,2;0,006599532
20;24,2;0,006252188
30;24,2;0,005904844
40;24,2;0,0055575
50;24,2;0,005210157
60;24,2;0,004862813
70;24,2;0,004515469
80;24,2;0,004168125
90;24,2;0,003820782
100;24,2;0,003473438
110;24,2;0,003126094
120;24,2;0,00277875
130;24,2;0,002431406
140;24,2;0,002084063
150;24,2;0,001736719
160;24,2;0,001389375
170;24,2;0,001042031
180;24,2;0,000694688
190;24,2;0,000347344
200;24,2;0
0;24,3;0,007039085
10;24,3;0,006687131
20;24,3;0,006335176
30;24,3;0,005983222
40;24,3;0,005631268
50;24,3;0,005279314
60;24,3;0,004927359
70;24,3;0,004575405
80;24,3;0,004223451
90;24,3;0,003871497
100;24,3;0,003519542
110;24,3;0,003167588
120;24,3;0,002815634
130;24,3;0,00246368
140;24,3;0,002111725
150;24,3;0,001759771
160;24,3;0,001407817
170;24,3;0,001055863
180;24,3;0,000703908
190;24,3;0,000351954
200;24,3;0
0;24,4;0,00713156
10;24,4;0,006774982
20;24,4;0,006418404
30;24,4;0,006061826
40;24,4;0,005705248
50;24,4;0,00534867
60;24,4;0,004992092
70;24,4;0,004635514
80;24,4;0,004278936
90;24,4;0,003922358
100;24,4;0,00356578
110;24,4;0,003209202
120;24,4;0,002852624
130;24,4;0,002496046
140;24,4;0,002139468
150;24,4;0,00178289
